# device warming up from 21 °C to 27 °C (measured at case), watching a ceiling of 19.25 °C
#rmin rmax central devtempsns
15873 16062 15938 4350
15870 16064 15936 4349
15865 16062 15937 4349
15870 16064 15937 4349
15869 16063 15936 4348
15872 16066 15936 4349
15867 16061 15940 4349
15885 16060 15940 4348
15884 16061 15938 4348
15882 16060 15939 4349
15877 16062 15938 4348
15873 16059 15938 4348
15875 16062 15936 4349
15878 16059 15938 4348
15875 16058 15934 4348
15872 16056 15931 4348
15869 16055 15931 4347
15870 16055 15930 4347
15871 16059 15931 4347
15865 16060 15932 4348
15864 16059 15932 4348
15866 16060 15929 4347
15864 16061 15929 4349
15863 16060 15925 4348
15859 16060 15929 4348
15864 16062 15929 4348
15863 16060 15929 4348
15861 16056 15929 4347
15882 16060 15940 4347
15879 16059 15934 4348
15876 16059 15933 4347
15877 16058 15934 4348
15881 16057 15931 4347
15877 16051 15932 4347
15876 16058 15931 4348
15876 16057 15931 4347
15874 16054 15934 4347
15874 16056 15934 4348
15872 16059 15931 4347
15872 16059 15931 4348
15873 16061 15930 4347
15866 16057 15930 4347
15871 16056 15929 4347
15869 16058 15930 4348
15866 16056 15930 4346
15861 16055 15929 4347
15863 16051 15932 4346
15863 16052 15931 4347
15859 16054 15933 4346
15879 16052 15933 4347
15874 16051 15931 4346
15876 16055 15930 4346
15871 16049 15929 4347
15869 16054 15929 4347
15872 16053 15929 4346
15865 16056 15928 4347
15869 16058 15929 4346
15865 16053 15928 4346
15866 16056 15926 4346
15867 16058 15925 4346
15864 16057 15923 4346
15863 16052 15922 4346
15862 16051 15924 4346
15860 16052 15922 4346
15857 16053 15921 4345
15851 16055 15918 4346
15846 16049 15916 4346
15850 16055 15917 4346
15854 16057 15920 4346
15855 16058 15916 4346
15871 16057 15932 4346
15866 16051 15931 4345
15863 16054 15932 4345
15860 16055 15928 4345
15862 16052 15927 4345
15861 16054 15928 4346
15861 16053 15928 4345
15858 16055 15930 4345
15860 16051 15924 4345
15858 16051 15928 4346
15858 16055 15929 4346
15854 16055 15926 4345
15855 16057 15927 4345
15851 16051 15926 4346
15855 16049 15927 4345
15857 16046 15927 4344
15851 16052 15927 4345
15855 16060 15924 4345
15848 16055 15924 4345
15849 16051 15923 4345
15847 16057 15923 4345
15865 16047 15928 4345
15865 16049 15925 4344
15864 16046 15922 4344
15863 16044 15925 4344
15864 16048 15921 4344
15858 16048 15920 4345
15854 16051 15919 4345
15858 16051 15916 4344
15859 16046 15917 4345
15856 16046 15916 4344
15857 16043 15917 4343
15854 16047 15918 4344
15856 16043 15916 4343
15852 16045 15915 4343
15855 16044 15910 4343
15849 16048 15911 4343
15846 16047 15913 4343
15849 16048 15911 4343
15845 16047 15911 4343
15848 16046 15911 4342
15847 16049 15910 4342
15859 16044 15920 4344
15858 16039 15920 4343
15854 16041 15920 4342
15852 16038 15920 4343
15849 16045 15916 4343
15850 16046 15916 4344
15852 16042 15916 4344
15852 16043 15915 4343
15849 16041 15914 4343
15841 16049 15914 4343
15846 16042 15912 4342
15837 16039 15913 4343
15845 16043 15912 4343
15843 16044 15913 4342
15842 16043 15909 4343
15839 16042 15911 4342
15842 16045 15911 4342
15846 16039 15909 4343
15843 16044 15910 4343
15840 16041 15908 4342
15835 16040 15906 4343
15855 16046 15916 4342
15857 16042 15917 4341
15857 16040 15917 4342
15857 16044 15915 4342
15857 16042 15914 4342
15853 16038 15915 4342
15855 16043 15914 4342
15854 16037 15914 4342
15850 16038 15911 4341
15849 16039 15913 4342
15851 16039 15911 4342
15850 16038 15912 4341
15848 16040 15911 4342
15849 16040 15913 4341
15847 16041 15913 4342
15846 16038 15914 4341
15839 16039 15914 4341
15842 16038 15911 4342
15845 16042 15910 4341
15844 16045 15909 4342
15844 16041 15909 4342
15855 16046 15914 4342
15856 16042 15916 4340
15852 16039 15915 4341
15854 16043 15914 4341
15842 16038 15912 4342
15849 16042 15911 4342
15846 16041 15911 4341
15849 16038 15911 4342
15844 16037 15907 4341
15844 16042 15906 4341
15840 16040 15905 4341
15842 16041 15907 4341
15839 16043 15905 4341
15841 16046 15906 4341
15840 16035 15905 4340
15840 16040 15904 4341
15835 16036 15905 4341
15839 16037 15904 4341
15834 16042 15903 4341
15833 16040 15902 4341
15836 16037 15902 4340
15844 16038 15911 4341
15852 16036 15909 4340
15846 16033 15909 4340
15845 16032 15909 4340
15846 16036 15910 4340
15841 16036 15908 4340
15845 16037 15910 4340
15842 16033 15907 4339
15840 16036 15909 4341
15837 16030 15907 4341
15837 16032 15906 4339
15841 16033 15904 4339
15835 16034 15904 4340
15834 16034 15905 4341
15839 16030 15902 4339
15834 16029 15903 4339
15834 16029 15903 4340
15832 16033 15905 4338
15828 16030 15905 4340
15826 16034 15899 4340
15829 16031 15899 4339
15845 16035 15905 4340
15845 16032 15903 4339
15844 16030 15903 4340
15844 16031 15903 4338
15841 16031 15902 4338
15844 16031 15901 4339
15840 16036 15903 4339
15836 16027 15899 4339
15839 16029 15899 4339
15837 16027 15899 4338
15839 16026 15901 4338
15837 16034 15898 4339
15838 16032 15898 4339
15837 16031 15897 4338
