#rmin rmax central devtempsns
# tap water initially at roughly 17 °C
15613 16245 15689 4298
15611 16245 15688 4298
15615 16246 15688 4297
15609 16242 15687 4298
15609 16241 15688 4298
15619 16255 15698 4297
15623 16253 15696 4297
15620 16256 15694 4297
15618 16258 15695 4297
15618 16260 15695 4298
15614 16253 15694 4297
15617 16256 15693 4297
15609 16253 15692 4297
15611 16252 15694 4298
15612 16251 15691 4298
15616 16250 15690 4298
15617 16251 15690 4298
15620 16249 15689 4297
15619 16250 15688 4298
15616 16249 15689 4297
15616 16250 15687 4297
15614 16246 15688 4297
15612 16247 15690 4297
15610 16249 15690 4298
15613 16245 15693 4298
15612 16247 15690 4298
15620 16250 15693 4298
15617 16247 15691 4297
15617 16251 15689 4296
15620 16250 15688 4297
15616 16248 15685 4296
15615 16253 15684 4297
15613 16247 15687 4297
15614 16249 15688 4296
15613 16253 15688 4297
15610 16251 15685 4297
15613 16253 15687 4297
15609 16250 15684 4297
15614 16250 15686 4297
15611 16252 15685 4297
15610 16250 15683 4297
15607 16252 15685 4298
15607 16250 15687 4298
15607 16252 15685 4297
15605 16249 15684 4297
15600 16250 15684 4296
15608 16253 15683 4297
15615 16251 15686 4297
15615 16251 15684 4296
15613 16254 15684 4297
15613 16257 15684 4297
15611 16255 15685 4297
15608 16258 15688 4297
15608 16253 15687 4296
15610 16254 15686 4296
15608 16253 15685 4297
15607 16247 15685 4296
15604 16250 15684 4296
15610 16250 15684 4297
15608 16248 15686 4297
15607 16247 15686 4297
15607 16249 15683 4297
15606 16248 15682 4297
15606 16247 15677 4297
15607 16246 15681 4297
15603 16247 15681 4297
15600 16250 15677 4297
15606 16243 15676 4296
15615 16252 15687 4296
15610 16248 15687 4297
15612 16246 15685 4296
15611 16245 15683 4296
15605 16248 15683 4297
15608 16247 15684 4297
15608 16246 15683 4296
15607 16247 15681 4296
15605 16246 15680 4296
15605 16246 15679 4296
15603 16245 15680 4296
15604 16243 15682 4296
15601 16246 15682 4296
15603 16249 15681 4296
15605 16246 15680 4296
15605 16246 15677 4296
15601 16254 15679 4296
15601 16249 15678 4296
15602 16249 15679 4296
15605 16245 15679 4296
15599 16247 15678 4296
15610 16252 15683 4296
15609 16248 15683 4296
15608 16249 15682 4297
15607 16248 15682 4296
15606 16245 15680 4296
15606 16247 15678 4296
15605 16243 15680 4295
15602 16246 15681 4296
15604 16246 15678 4295
15608 16248 15676 4295
15605 16243 15680 4295
15603 16247 15677 4295
15604 16246 15677 4295
15602 16246 15675 4295
15606 16247 15677 4296
15600 16246 15676 4295
15604 16247 15676 4296
15602 16246 15675 4296
15604 16242 15674 4297
15598 16246 15674 4295
15597 16240 15675 4295
15602 16232 15677 4296
15600 16240 15675 4294
15600 16244 15674 4295
15603 16246 15675 4295
15600 16244 15676 4295
15597 16235 15674 4296
15598 16236 15675 4295
15598 16242 15675 4295
15594 16236 15672 4294
15593 16246 15672 4295
15596 16195 15672 4295
15597 16175 15671 4296
15595 16179 15672 4295
15596 16180 15671 4295
15593 16176 15668 4295
15596 16180 15670 4294
15593 16177 15670 4295
15591 16178 15671 4296
15594 16179 15670 4295
15592 16178 15671 4295
15594 16181 15669 4295
15596 16183 15678 4295
15596 16182 15673 4295
15601 16177 15673 4295
15603 16179 15673 4295
15600 16178 15669 4295
15597 16181 15672 4295
15598 16180 15672 4294
15593 16179 15671 4295
15594 16175 15670 4294
15595 16179 15669 4294
15597 16182 15671 4294
15593 16182 15670 4295
15594 16175 15671 4294
